bairro,classificacao_grupo,classificacao_cnae,quantidade,Total_de_pessoas_2022,densidade_por_10k,percentil_densidade,label_densidade
RICARDO DE ALBUQUERQUE,Misto,Supermercados,2,27704.0,0.72,0.04,Muito Baixa
RICARDO DE ALBUQUERQUE,Ultraprocessado,Cantinas / Alimentação preparada,142,27704.0,51.26,0.88,Muito Alta
RICARDO DE ALBUQUERQUE,Ultraprocessado,Lojas de conveniência / Varejo alimentar,14,27704.0,5.05,0.34,Baixa
RICARDO DE ALBUQUERQUE,Ultraprocessado,Restaurantes / Lanchonetes,113,27704.0,40.79,0.84,Muito Alta
RICARDO DE ALBUQUERQUE,Ultraprocessado,Serviços ambulantes,31,27704.0,11.19,0.57,Média
RIO COMPRIDO,In natura,Açougues / Padarias,42,39890.0,10.53,0.54,Média
RIO COMPRIDO,In natura,Feira,2,0.0,0.0,0.0,0
RIO COMPRIDO,In natura,Hortifrutigranjeiros,11,39890.0,2.76,0.21,Baixa
RIO COMPRIDO,In natura,Peixarias,9,39890.0,2.26,0.17,Muito Baixa
RIO COMPRIDO,Misto,Hipermercados,10,39890.0,2.51,0.19,Muito Baixa
RIO COMPRIDO,Misto,Mercearias,40,39890.0,10.03,0.52,Média
RIO COMPRIDO,Misto,Supermercados,2,39890.0,0.5,0.03,Muito Baixa
RIO COMPRIDO,Ultraprocessado,Cantinas / Alimentação preparada,236,39890.0,59.16,0.92,Muito Alta
RIO COMPRIDO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,38,39890.0,9.53,0.5,Média
RIO COMPRIDO,Ultraprocessado,Restaurantes / Lanchonetes,266,39890.0,66.68,0.94,Muito Alta
RIO COMPRIDO,Ultraprocessado,Serviços ambulantes,60,39890.0,15.04,0.68,Alta
RIO DAS PEDRAS,In natura,Horta,1,0.0,0.0,0.0,0
ROCHA,In natura,Açougues / Padarias,12,15900.0,7.55,0.44,Média
ROCHA,In natura,Feira,1,0.0,0.0,0.0,0
ROCHA,In natura,Hortifrutigranjeiros,3,15900.0,1.89,0.13,Muito Baixa
ROCHA,In natura,Peixarias,4,15900.0,2.52,0.19,Muito Baixa
ROCHA,Misto,Mercearias,11,15900.0,6.92,0.41,Média
ROCHA,Misto,Supermercados,1,15900.0,0.63,0.04,Muito Baixa
ROCHA,Ultraprocessado,Cantinas / Alimentação preparada,48,15900.0,30.19,0.8,Alta
ROCHA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,12,15900.0,7.55,0.44,Média
ROCHA,Ultraprocessado,Restaurantes / Lanchonetes,39,15900.0,24.53,0.77,Alta
ROCHA,Ultraprocessado,Serviços ambulantes,12,15900.0,7.55,0.44,Média
ROCHA MIRANDA,In natura,Açougues / Padarias,47,36360.0,12.93,0.62,Alta
ROCHA MIRANDA,In natura,Feira,1,0.0,0.0,0.0,0
ROCHA MIRANDA,In natura,Horta,1,0.0,0.0,0.0,0
ROCHA MIRANDA,In natura,Hortifrutigranjeiros,43,36360.0,11.83,0.59,Média
ROCHA MIRANDA,In natura,Peixarias,12,36360.0,3.3,0.25,Baixa
ROCHA MIRANDA,Misto,Cozinha,3,0.0,0.0,0.0,0
ROCHA MIRANDA,Misto,Hipermercados,8,36360.0,2.2,0.16,Muito Baixa
ROCHA MIRANDA,Misto,Mercearias,49,36360.0,13.48,0.63,Alta
ROCHA MIRANDA,Misto,Supermercados,6,36360.0,1.65,0.12,Muito Baixa
ROCHA MIRANDA,Ultraprocessado,Cantinas / Alimentação preparada,202,36360.0,55.56,0.9,Muito Alta
ROCHA MIRANDA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,30,36360.0,8.25,0.46,Média
ROCHA MIRANDA,Ultraprocessado,Restaurantes / Lanchonetes,197,36360.0,54.18,0.89,Muito Alta
ROCHA MIRANDA,Ultraprocessado,Serviços ambulantes,50,36360.0,13.75,0.64,Alta
ROCINHA,In natura,Açougues / Padarias,23,70894.0,3.24,0.24,Baixa
ROCINHA,In natura,Hortifrutigranjeiros,6,70894.0,0.85,0.05,Muito Baixa
ROCINHA,In natura,Peixarias,12,70894.0,1.69,0.12,Muito Baixa
ROCINHA,Misto,Hipermercados,3,70894.0,0.42,0.02,Muito Baixa
ROCINHA,Misto,Mercearias,67,70894.0,9.45,0.5,Média
ROCINHA,Ultraprocessado,Cantinas / Alimentação preparada,61,70894.0,8.6,0.47,Média
ROCINHA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,16,70894.0,2.26,0.17,Muito Baixa
ROCINHA,Ultraprocessado,Restaurantes / Lanchonetes,154,70894.0,21.72,0.75,Alta
ROCINHA,Ultraprocessado,Serviços ambulantes,22,70894.0,3.1,0.23,Baixa
SAMPAIO,In natura,Açougues / Padarias,7,8832.0,7.93,0.45,Média
SAMPAIO,In natura,Peixarias,3,8832.0,3.4,0.25,Baixa
SAMPAIO,Misto,Hipermercados,3,8832.0,3.4,0.25,Baixa
SAMPAIO,Misto,Mercearias,9,8832.0,10.19,0.53,Média
SAMPAIO,Ultraprocessado,Cantinas / Alimentação preparada,43,8832.0,48.69,0.87,Muito Alta
SAMPAIO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,11,8832.0,12.45,0.6,Alta
SAMPAIO,Ultraprocessado,Restaurantes / Lanchonetes,60,8832.0,67.93,0.94,Muito Alta
SAMPAIO,Ultraprocessado,Serviços ambulantes,17,8832.0,19.25,0.73,Alta
SANTA CRUZ,In natura,Açougues / Padarias,214,249130.0,8.59,0.47,Média
SANTA CRUZ,In natura,Feira,1,0.0,0.0,0.0,0
SANTA CRUZ,In natura,Horta,1,0.0,0.0,0.0,0
SANTA CRUZ,In natura,Hortifrutigranjeiros,112,249130.0,4.5,0.31,Baixa
SANTA CRUZ,In natura,Peixarias,62,249130.0,2.49,0.18,Muito Baixa
SANTA CRUZ,Misto,Cozinha,3,0.0,0.0,0.0,0
SANTA CRUZ,Misto,Hipermercados,76,249130.0,3.05,0.23,Baixa
SANTA CRUZ,Misto,Mercearias,395,249130.0,15.86,0.69,Alta
SANTA CRUZ,Misto,Supermercados,12,249130.0,0.48,0.02,Muito Baixa
SANTA CRUZ,Ultraprocessado,Cantinas / Alimentação preparada,883,249130.0,35.44,0.82,Muito Alta
SANTA CRUZ,Ultraprocessado,Lojas de conveniência / Varejo alimentar,184,249130.0,7.39,0.43,Média
SANTA CRUZ,Ultraprocessado,Restaurantes / Lanchonetes,994,249130.0,39.9,0.83,Muito Alta
SANTA CRUZ,Ultraprocessado,Serviços ambulantes,266,249130.0,10.68,0.55,Média
SANTA TERESA,In natura,Açougues / Padarias,15,36252.0,4.14,0.29,Baixa
SANTA TERESA,In natura,Feira,1,0.0,0.0,0.0,0
SANTA TERESA,In natura,Horta,1,0.0,0.0,0.0,0
SANTA TERESA,In natura,Hortifrutigranjeiros,8,36252.0,2.21,0.16,Muito Baixa
SANTA TERESA,In natura,Peixarias,3,36252.0,0.83,0.05,Muito Baixa
SANTA TERESA,Misto,Hipermercados,6,36252.0,1.66,0.12,Muito Baixa
SANTA TERESA,Misto,Mercearias,39,36252.0,10.76,0.55,Média
SANTA TERESA,Misto,Supermercados,2,36252.0,0.55,0.03,Muito Baixa
SANTA TERESA,Ultraprocessado,Cantinas / Alimentação preparada,157,36252.0,43.31,0.84,Muito Alta
SANTA TERESA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,16,36252.0,4.41,0.3,Baixa
SANTA TERESA,Ultraprocessado,Restaurantes / Lanchonetes,137,36252.0,37.79,0.83,Muito Alta
SANTA TERESA,Ultraprocessado,Serviços ambulantes,47,36252.0,12.96,0.62,Alta
SANTA TEREZA,In natura,Horta,1,0.0,0.0,0.0,0
SANTISSIMO,In natura,Açougues / Padarias,46,48187.0,9.55,0.5,Média
SANTISSIMO,In natura,Hortifrutigranjeiros,19,48187.0,3.94,0.28,Baixa
SANTISSIMO,In natura,Peixarias,21,48187.0,4.36,0.3,Baixa
SANTISSIMO,Misto,Hipermercados,9,48187.0,1.87,0.13,Muito Baixa
SANTISSIMO,Misto,Mercearias,86,48187.0,17.85,0.71,Alta
SANTISSIMO,Misto,Supermercados,2,48187.0,0.42,0.02,Muito Baixa
SANTISSIMO,Ultraprocessado,Cantinas / Alimentação preparada,205,48187.0,42.54,0.84,Muito Alta
SANTISSIMO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,34,48187.0,7.06,0.42,Média
SANTISSIMO,Ultraprocessado,Restaurantes / Lanchonetes,217,48187.0,45.03,0.85,Muito Alta
SANTISSIMO,Ultraprocessado,Serviços ambulantes,67,48187.0,13.9,0.64,Alta
SANTO CRISTO,In natura,Açougues / Padarias,21,9936.0,21.14,0.74,Alta
SANTO CRISTO,In natura,Hortifrutigranjeiros,5,9936.0,5.03,0.33,Baixa
SANTO CRISTO,In natura,Peixarias,3,9936.0,3.02,0.23,Baixa
SANTO CRISTO,Misto,Cozinha,1,0.0,0.0,0.0,0
SANTO CRISTO,Misto,Hipermercados,3,9936.0,3.02,0.23,Baixa
SANTO CRISTO,Misto,Mercearias,21,9936.0,21.14,0.74,Alta
SANTO CRISTO,Misto,Supermercados,1,9936.0,1.01,0.07,Muito Baixa
SANTO CRISTO,Ultraprocessado,Cantinas / Alimentação preparada,75,9936.0,75.48,0.95,Muito Alta
SANTO CRISTO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,16,9936.0,16.1,0.7,Alta
SANTO CRISTO,Ultraprocessado,Restaurantes / Lanchonetes,110,9936.0,110.71,0.98,Muito Alta
SANTO CRISTO,Ultraprocessado,Serviços ambulantes,31,9936.0,31.2,0.8,Alta
SAO CONRADO,In natura,Açougues / Padarias,17,9739.0,17.46,0.71,Alta
SAO CONRADO,In natura,Hortifrutigranjeiros,3,9739.0,3.08,0.23,Baixa
SAO CONRADO,In natura,Peixarias,1,9739.0,1.03,0.07,Muito Baixa
SAO CONRADO,Misto,Hipermercados,8,9739.0,8.21,0.46,Média
SAO CONRADO,Misto,Mercearias,5,9739.0,5.13,0.34,Baixa
SAO CONRADO,Misto,Supermercados,3,9739.0,3.08,0.23,Baixa
SAO CONRADO,Ultraprocessado,Cantinas / Alimentação preparada,29,9739.0,29.78,0.8,Alta
SAO CONRADO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,9,9739.0,9.24,0.49,Média
SAO CONRADO,Ultraprocessado,Restaurantes / Lanchonetes,79,9739.0,81.12,0.96,Muito Alta
SAO CONRADO,Ultraprocessado,Serviços ambulantes,14,9739.0,14.38,0.66,Alta
SAO CRISTOVAO,In natura,Açougues / Padarias,49,27911.0,17.56,0.71,Alta
SAO CRISTOVAO,In natura,Feira,2,0.0,0.0,0.0,0
SAO CRISTOVAO,In natura,Horta,1,0.0,0.0,0.0,0
SAO CRISTOVAO,In natura,Hortifrutigranjeiros,28,27911.0,10.03,0.52,Média
SAO CRISTOVAO,In natura,Peixarias,17,27911.0,6.09,0.38,Baixa
SAO CRISTOVAO,Misto,Cozinha,1,0.0,0.0,0.0,0
SAO CRISTOVAO,Misto,Hipermercados,26,27911.0,9.32,0.49,Média
SAO CRISTOVAO,Misto,Mercearias,70,27911.0,25.08,0.77,Alta
SAO CRISTOVAO,Misto,Supermercados,5,27911.0,1.79,0.13,Muito Baixa
SAO CRISTOVAO,Ultraprocessado,Cantinas / Alimentação preparada,264,27911.0,94.59,0.97,Muito Alta
SAO CRISTOVAO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,71,27911.0,25.44,0.78,Alta
SAO CRISTOVAO,Ultraprocessado,Restaurantes / Lanchonetes,520,27911.0,186.31,0.99,Muito Alta
SAO CRISTOVAO,Ultraprocessado,Serviços ambulantes,77,27911.0,27.59,0.78,Alta
SAO FRANCISCO XAVIER,In natura,Açougues / Padarias,7,6340.0,11.04,0.56,Média
SAO FRANCISCO XAVIER,In natura,Hortifrutigranjeiros,3,6340.0,4.73,0.32,Baixa
SAO FRANCISCO XAVIER,In natura,Peixarias,2,6340.0,3.15,0.24,Baixa
SAO FRANCISCO XAVIER,Misto,Mercearias,4,6340.0,6.31,0.39,Baixa
SAO FRANCISCO XAVIER,Misto,Supermercados,1,6340.0,1.58,0.11,Muito Baixa
SAO FRANCISCO XAVIER,Ultraprocessado,Cantinas / Alimentação preparada,37,6340.0,58.36,0.91,Muito Alta
SAO FRANCISCO XAVIER,Ultraprocessado,Lojas de conveniência / Varejo alimentar,6,6340.0,9.46,0.5,Média
SAO FRANCISCO XAVIER,Ultraprocessado,Restaurantes / Lanchonetes,42,6340.0,66.25,0.94,Muito Alta
SAO FRANCISCO XAVIER,Ultraprocessado,Serviços ambulantes,7,6340.0,11.04,0.56,Média
SAUDE,In natura,Feira,1,0.0,0.0,0.0,0
SAUDE,In natura,Hortifrutigranjeiros,3,1876.0,15.99,0.7,Alta
SAUDE,Misto,Cozinha,1,0.0,0.0,0.0,0
SAUDE,Misto,Hipermercados,4,1876.0,21.32,0.75,Alta
SAUDE,Misto,Mercearias,7,1876.0,37.31,0.82,Muito Alta
SAUDE,Misto,Supermercados,2,1876.0,10.66,0.54,Média
SAUDE,Ultraprocessado,Cantinas / Alimentação preparada,18,1876.0,95.95,0.97,Muito Alta
SAUDE,Ultraprocessado,Lojas de conveniência / Varejo alimentar,6,1876.0,31.98,0.8,Muito Alta
SAUDE,Ultraprocessado,Restaurantes / Lanchonetes,100,1876.0,533.05,1.0,Muito Alta
SAUDE,Ultraprocessado,Serviços ambulantes,16,1876.0,85.29,0.96,Muito Alta
SENADOR CAMARA,In natura,Açougues / Padarias,74,101980.0,7.26,0.42,Média
SENADOR CAMARA,In natura,Feira,1,0.0,0.0,0.0,0
SENADOR CAMARA,In natura,Hortifrutigranjeiros,43,101980.0,4.22,0.29,Baixa
SENADOR CAMARA,In natura,Peixarias,19,101980.0,1.86,0.13,Muito Baixa
SENADOR CAMARA,Misto,Hipermercados,21,101980.0,2.06,0.15,Muito Baixa
SENADOR CAMARA,Misto,Mercearias,128,101980.0,12.55,0.61,Alta
SENADOR CAMARA,Misto,Supermercados,3,101980.0,0.29,0.01,Muito Baixa
SENADOR CAMARA,Ultraprocessado,Cantinas / Alimentação preparada,264,101980.0,25.89,0.78,Alta
SENADOR CAMARA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,65,101980.0,6.37,0.39,Baixa
SENADOR CAMARA,Ultraprocessado,Restaurantes / Lanchonetes,301,101980.0,29.52,0.79,Alta
SENADOR CAMARA,Ultraprocessado,Serviços ambulantes,99,101980.0,9.71,0.51,Média
SENADOR VASCONCELOS,In natura,Açougues / Padarias,39,32765.0,11.9,0.6,Média
SENADOR VASCONCELOS,In natura,Hortifrutigranjeiros,13,32765.0,3.97,0.28,Baixa
SENADOR VASCONCELOS,In natura,Peixarias,10,32765.0,3.05,0.23,Baixa
SENADOR VASCONCELOS,Misto,Hipermercados,6,32765.0,1.83,0.13,Muito Baixa
SENADOR VASCONCELOS,Misto,Mercearias,36,32765.0,10.99,0.56,Média
SENADOR VASCONCELOS,Misto,Supermercados,1,32765.0,0.31,0.01,Muito Baixa
SENADOR VASCONCELOS,Ultraprocessado,Cantinas / Alimentação preparada,114,32765.0,34.79,0.81,Muito Alta
SENADOR VASCONCELOS,Ultraprocessado,Lojas de conveniência / Varejo alimentar,36,32765.0,10.99,0.56,Média
SENADOR VASCONCELOS,Ultraprocessado,Restaurantes / Lanchonetes,136,32765.0,41.51,0.84,Muito Alta
SENADOR VASCONCELOS,Ultraprocessado,Serviços ambulantes,40,32765.0,12.21,0.6,Alta
SEPETIBA,In natura,Açougues / Padarias,89,58738.0,15.15,0.68,Alta
SEPETIBA,In natura,Feira,1,0.0,0.0,0.0,0
SEPETIBA,In natura,Horta,1,0.0,0.0,0.0,0
SEPETIBA,In natura,Hortifrutigranjeiros,18,58738.0,3.06,0.23,Baixa
SEPETIBA,In natura,Peixarias,19,58738.0,3.23,0.24,Baixa
SEPETIBA,Misto,Hipermercados,24,58738.0,4.09,0.28,Baixa
SEPETIBA,Misto,Mercearias,100,58738.0,17.02,0.71,Alta
SEPETIBA,Misto,Supermercados,2,58738.0,0.34,0.01,Muito Baixa
SEPETIBA,Ultraprocessado,Cantinas / Alimentação preparada,217,58738.0,36.94,0.82,Muito Alta
SEPETIBA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,48,58738.0,8.17,0.46,Média
SEPETIBA,Ultraprocessado,Restaurantes / Lanchonetes,273,58738.0,46.48,0.86,Muito Alta
SEPETIBA,Ultraprocessado,Serviços ambulantes,59,58738.0,10.04,0.52,Média
TANQUE,In natura,Açougues / Padarias,26,36815.0,7.06,0.42,Média
TANQUE,In natura,Feira,1,0.0,0.0,0.0,0
TANQUE,In natura,Hortifrutigranjeiros,27,36815.0,7.33,0.43,Média
TANQUE,In natura,Peixarias,7,36815.0,1.9,0.13,Muito Baixa
TANQUE,Misto,Cozinha,1,0.0,0.0,0.0,0
TANQUE,Misto,Hipermercados,14,36815.0,3.8,0.27,Baixa
TANQUE,Misto,Mercearias,35,36815.0,9.51,0.5,Média
TANQUE,Misto,Supermercados,2,36815.0,0.54,0.03,Muito Baixa
TANQUE,Ultraprocessado,Cantinas / Alimentação preparada,203,36815.0,55.14,0.9,Muito Alta
TANQUE,Ultraprocessado,Lojas de conveniência / Varejo alimentar,35,36815.0,9.51,0.5,Média
TANQUE,Ultraprocessado,Restaurantes / Lanchonetes,164,36815.0,44.55,0.85,Muito Alta
TANQUE,Ultraprocessado,Serviços ambulantes,48,36815.0,13.04,0.62,Alta
TAQUARA,In natura,Açougues / Padarias,137,107188.0,12.78,0.61,Alta
TAQUARA,In natura,Feira,2,0.0,0.0,0.0,0
TAQUARA,In natura,Hortifrutigranjeiros,64,107188.0,5.97,0.38,Baixa
TAQUARA,In natura,Peixarias,32,107188.0,2.99,0.22,Baixa
TAQUARA,Misto,Cozinha,1,0.0,0.0,0.0,0
TAQUARA,Misto,Hipermercados,53,107188.0,4.94,0.33,Baixa
TAQUARA,Misto,Mercearias,133,107188.0,12.41,0.6,Alta
TAQUARA,Misto,Supermercados,11,107188.0,1.03,0.07,Muito Baixa
TAQUARA,Ultraprocessado,Cantinas / Alimentação preparada,810,107188.0,75.57,0.95,Muito Alta
TAQUARA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,149,107188.0,13.9,0.64,Alta
TAQUARA,Ultraprocessado,Restaurantes / Lanchonetes,776,107188.0,72.4,0.95,Muito Alta
TAQUARA,Ultraprocessado,Serviços ambulantes,176,107188.0,16.42,0.7,Alta
TAUA,In natura,Açougues / Padarias,27,26482.0,10.2,0.53,Média
TAUA,In natura,Feira,1,0.0,0.0,0.0,0
TAUA,In natura,Hortifrutigranjeiros,15,26482.0,5.66,0.36,Baixa
TAUA,In natura,Peixarias,4,26482.0,1.51,0.11,Muito Baixa
TAUA,Misto,Hipermercados,1,26482.0,0.38,0.01,Muito Baixa
TAUA,Misto,Mercearias,49,26482.0,18.5,0.72,Alta
TAUA,Ultraprocessado,Cantinas / Alimentação preparada,99,26482.0,37.38,0.82,Muito Alta
TAUA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,12,26482.0,4.53,0.31,Baixa
TAUA,Ultraprocessado,Restaurantes / Lanchonetes,134,26482.0,50.6,0.88,Muito Alta
TAUA,Ultraprocessado,Serviços ambulantes,37,26482.0,13.97,0.64,Alta
TIJUCA,In natura,Açougues / Padarias,153,142326.0,10.75,0.55,Média
TIJUCA,In natura,Feira,6,0.0,0.0,0.0,0
TIJUCA,In natura,Horta,6,0.0,0.0,0.0,0
TIJUCA,In natura,Hortifrutigranjeiros,48,142326.0,3.37,0.25,Baixa
TIJUCA,In natura,Peixarias,26,142326.0,1.83,0.13,Muito Baixa
TIJUCA,Misto,Cozinha,1,0.0,0.0,0.0,0
TIJUCA,Misto,Hipermercados,63,142326.0,4.43,0.3,Baixa
TIJUCA,Misto,Mercearias,80,142326.0,5.62,0.36,Baixa
TIJUCA,Misto,Supermercados,19,142326.0,1.33,0.09,Muito Baixa
TIJUCA,Ultraprocessado,Cantinas / Alimentação preparada,520,142326.0,36.54,0.82,Muito Alta
TIJUCA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,148,142326.0,10.4,0.53,Média
TIJUCA,Ultraprocessado,Restaurantes / Lanchonetes,854,142326.0,60.0,0.92,Muito Alta
TIJUCA,Ultraprocessado,Serviços ambulantes,98,142326.0,6.89,0.41,Média
TODOS OS SANTOS,In natura,Açougues / Padarias,22,22593.0,9.74,0.51,Média
TODOS OS SANTOS,In natura,Hortifrutigranjeiros,10,22593.0,4.43,0.3,Baixa
TODOS OS SANTOS,In natura,Peixarias,6,22593.0,2.66,0.2,Muito Baixa
TODOS OS SANTOS,Misto,Hipermercados,6,22593.0,2.66,0.2,Muito Baixa
TODOS OS SANTOS,Misto,Mercearias,23,22593.0,10.18,0.53,Média
TODOS OS SANTOS,Ultraprocessado,Cantinas / Alimentação preparada,122,22593.0,54.0,0.89,Muito Alta
TODOS OS SANTOS,Ultraprocessado,Lojas de conveniência / Varejo alimentar,22,22593.0,9.74,0.51,Média
TODOS OS SANTOS,Ultraprocessado,Restaurantes / Lanchonetes,77,22593.0,34.08,0.81,Muito Alta
TODOS OS SANTOS,Ultraprocessado,Serviços ambulantes,23,22593.0,10.18,0.53,Média
TOMAS COELHO,In natura,Açougues / Padarias,21,20343.0,10.32,0.53,Média
TOMAS COELHO,In natura,Hortifrutigranjeiros,11,20343.0,5.41,0.35,Baixa
TOMAS COELHO,In natura,Peixarias,4,20343.0,1.97,0.14,Muito Baixa
TOMAS COELHO,Misto,Hipermercados,2,20343.0,0.98,0.07,Muito Baixa
TOMAS COELHO,Misto,Mercearias,22,20343.0,10.81,0.55,Média
TOMAS COELHO,Ultraprocessado,Cantinas / Alimentação preparada,89,20343.0,43.75,0.85,Muito Alta
TOMAS COELHO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,11,20343.0,5.41,0.35,Baixa
TOMAS COELHO,Ultraprocessado,Restaurantes / Lanchonetes,49,20343.0,24.09,0.77,Alta
TOMAS COELHO,Ultraprocessado,Serviços ambulantes,28,20343.0,13.76,0.64,Alta
TURIACU,In natura,Açougues / Padarias,16,11613.0,13.78,0.64,Alta
TURIACU,In natura,Horta,1,0.0,0.0,0.0,0
TURIACU,In natura,Hortifrutigranjeiros,11,11613.0,9.47,0.5,Média
TURIACU,In natura,Peixarias,4,11613.0,3.44,0.25,Baixa
TURIACU,Misto,Hipermercados,1,11613.0,0.86,0.06,Muito Baixa
TURIACU,Misto,Mercearias,17,11613.0,14.64,0.67,Alta
TURIACU,Ultraprocessado,Cantinas / Alimentação preparada,83,11613.0,71.47,0.94,Muito Alta
TURIACU,Ultraprocessado,Lojas de conveniência / Varejo alimentar,15,11613.0,12.92,0.62,Alta
TURIACU,Ultraprocessado,Restaurantes / Lanchonetes,74,11613.0,63.72,0.93,Muito Alta
TURIACU,Ultraprocessado,Serviços ambulantes,24,11613.0,20.67,0.74,Alta
URCA,In natura,Açougues / Padarias,4,5215.0,7.67,0.44,Média
URCA,In natura,Feira,1,0.0,0.0,0.0,0
URCA,In natura,Horta,1,0.0,0.0,0.0,0
URCA,In natura,Hortifrutigranjeiros,1,5215.0,1.92,0.14,Muito Baixa
URCA,Misto,Hipermercados,3,5215.0,5.75,0.37,Baixa
URCA,Misto,Mercearias,8,5215.0,15.34,0.68,Alta
URCA,Ultraprocessado,Cantinas / Alimentação preparada,19,5215.0,36.43,0.82,Muito Alta
URCA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,5,5215.0,9.59,0.5,Média
URCA,Ultraprocessado,Restaurantes / Lanchonetes,36,5215.0,69.03,0.94,Muito Alta
URCA,Ultraprocessado,Serviços ambulantes,15,5215.0,28.76,0.79,Alta
VARGEM GRANDE,In natura,Açougues / Padarias,23,20663.0,11.13,0.57,Média
VARGEM GRANDE,In natura,Hortifrutigranjeiros,15,20663.0,7.26,0.42,Média
VARGEM GRANDE,In natura,Peixarias,6,20663.0,2.9,0.22,Baixa
VARGEM GRANDE,Misto,Hipermercados,9,20663.0,4.36,0.3,Baixa
VARGEM GRANDE,Misto,Mercearias,42,20663.0,20.33,0.74,Alta
VARGEM GRANDE,Misto,Supermercados,1,20663.0,0.48,0.02,Muito Baixa
VARGEM GRANDE,Ultraprocessado,Cantinas / Alimentação preparada,135,20663.0,65.33,0.94,Muito Alta
VARGEM GRANDE,Ultraprocessado,Lojas de conveniência / Varejo alimentar,39,20663.0,18.87,0.72,Alta
VARGEM GRANDE,Ultraprocessado,Restaurantes / Lanchonetes,173,20663.0,83.72,0.96,Muito Alta
VARGEM GRANDE,Ultraprocessado,Serviços ambulantes,34,20663.0,16.45,0.7,Alta
VARGEM PEQUENA,In natura,Açougues / Padarias,18,31115.0,5.78,0.37,Baixa
VARGEM PEQUENA,In natura,Hortifrutigranjeiros,23,31115.0,7.39,0.43,Média
VARGEM PEQUENA,In natura,Peixarias,2,31115.0,0.64,0.04,Muito Baixa
VARGEM PEQUENA,Misto,Hipermercados,6,31115.0,1.93,0.14,Muito Baixa
VARGEM PEQUENA,Misto,Mercearias,47,31115.0,15.11,0.68,Alta
VARGEM PEQUENA,Misto,Supermercados,2,31115.0,0.64,0.04,Muito Baixa
VARGEM PEQUENA,Ultraprocessado,Cantinas / Alimentação preparada,147,31115.0,47.24,0.86,Muito Alta
VARGEM PEQUENA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,44,31115.0,14.14,0.65,Alta
VARGEM PEQUENA,Ultraprocessado,Restaurantes / Lanchonetes,135,31115.0,43.39,0.84,Muito Alta
VARGEM PEQUENA,Ultraprocessado,Serviços ambulantes,41,31115.0,13.18,0.63,Alta
VASCO DA GAMA,In natura,Açougues / Padarias,4,14576.0,2.74,0.21,Baixa
VASCO DA GAMA,In natura,Hortifrutigranjeiros,1,14576.0,0.69,0.04,Muito Baixa
VASCO DA GAMA,In natura,Peixarias,2,14576.0,1.37,0.09,Muito Baixa
VASCO DA GAMA,Misto,Hipermercados,4,14576.0,2.74,0.21,Baixa
VASCO DA GAMA,Misto,Mercearias,15,14576.0,10.29,0.53,Média
VASCO DA GAMA,Ultraprocessado,Cantinas / Alimentação preparada,20,14576.0,13.72,0.64,Alta
VASCO DA GAMA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,6,14576.0,4.12,0.29,Baixa
VASCO DA GAMA,Ultraprocessado,Restaurantes / Lanchonetes,28,14576.0,19.21,0.73,Alta
VASCO DA GAMA,Ultraprocessado,Serviços ambulantes,3,14576.0,2.06,0.15,Muito Baixa
VAZ LOBO,In natura,Açougues / Padarias,16,10995.0,14.55,0.66,Alta
VAZ LOBO,In natura,Feira,2,0.0,0.0,0.0,0
VAZ LOBO,In natura,Hortifrutigranjeiros,8,10995.0,7.28,0.43,Média
VAZ LOBO,In natura,Peixarias,6,10995.0,5.46,0.35,Baixa
VAZ LOBO,Misto,Hipermercados,6,10995.0,5.46,0.35,Baixa
VAZ LOBO,Misto,Mercearias,8,10995.0,7.28,0.43,Média
VAZ LOBO,Ultraprocessado,Cantinas / Alimentação preparada,67,10995.0,60.94,0.92,Muito Alta
VAZ LOBO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,17,10995.0,15.46,0.69,Alta
VAZ LOBO,Ultraprocessado,Restaurantes / Lanchonetes,87,10995.0,79.13,0.95,Muito Alta
VAZ LOBO,Ultraprocessado,Serviços ambulantes,25,10995.0,22.74,0.76,Alta
VICENTE DE CARVALHO,In natura,Açougues / Padarias,31,21300.0,14.55,0.66,Alta
VICENTE DE CARVALHO,In natura,Feira,1,0.0,0.0,0.0,0
VICENTE DE CARVALHO,In natura,Hortifrutigranjeiros,9,21300.0,4.23,0.3,Baixa
VICENTE DE CARVALHO,In natura,Peixarias,5,21300.0,2.35,0.18,Muito Baixa
