id,tipo,nome,endereco,bairro,cidade,uf,pais,endereco_completo,fonte
93a4276e4f97,Horta Urbana (Hortas Cariocas),Escola Municipal Andrade Neves,"Rua Viana do Castelo, s/nº - Jardim América, Rio de Janeiro",Jardim América,Rio de Janeiro,RJ,Brasil,"Rua Viana do Castelo, s/nº - Jardim América, Rio de Janeiro, Jardim América, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
9ad61ba64f95,Horta Urbana (Hortas Cariocas),Escola Municipal Joaquim Fontes,"Rua João Mafra, 85 - Cidade de Deus, Rio de Janeiro",Cidade de Deus,Rio de Janeiro,RJ,Brasil,"Rua João Mafra, 85 - Cidade de Deus, Rio de Janeiro, Cidade de Deus, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
9bc9d67cdae2,Horta Urbana (Hortas Cariocas),Manguinhos,"Estrada de Manguinhos, s/nº - Manguinhos, Rio de Janeiro",Manguinhos,Rio de Janeiro,RJ,Brasil,"Estrada de Manguinhos, s/nº - Manguinhos, Rio de Janeiro, Manguinhos, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
a18a77f33bcf,Horta Urbana (Hortas Cariocas),Escola Municipal Albert Einstein,"Rua Guimarães Rosa, 166 - Condomínio Novo Leblon, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,Rio de Janeiro,RJ,Brasil,"Rua Guimarães Rosa, 166 - Condomínio Novo Leblon, Barra da Tijuca, Rio de Janeiro, Barra da Tijuca, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
a1a75e2ac1b7,Horta Urbana (Hortas Cariocas),Jardim Sulacap,"Final da Rua Oliveira Martins, ao lado do nº133 - Jardim Sulacap, Rio de Janeiro",Jardim Sulacap,Rio de Janeiro,RJ,Brasil,"Final da Rua Oliveira Martins, ao lado do nº133 - Jardim Sulacap, Rio de Janeiro, Jardim Sulacap, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
a67540a8b40f,Horta Urbana (Hortas Cariocas),Creche Municipal Maria Vieira Bazzani,"Rua Teotônio Vilela S/nº - Recreio dos Bandeirantes, Rio de Janeiro",Recreio dos Bandeirantes,Rio de Janeiro,RJ,Brasil,"Rua Teotônio Vilela S/nº - Recreio dos Bandeirantes, Rio de Janeiro, Recreio dos Bandeirantes, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
ac8e9e4b65e0,Horta Urbana (Hortas Cariocas),Condomínio Toulon,"Av. Brasil, 50.851 - Campo Grande, Rio de Janeiro",Campo Grande,Rio de Janeiro,RJ,Brasil,"Av. Brasil, 50.851 - Campo Grande, Rio de Janeiro, Campo Grande, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
af6e09443f06,Horta Urbana (Hortas Cariocas),Escola Municipal Barão de Macahubas,"Rua Padre Januário, 220 - Inhaúma, Rio de Janeiro",Inhaúma,Rio de Janeiro,RJ,Brasil,"Rua Padre Januário, 220 - Inhaúma, Rio de Janeiro, Inhaúma, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
b1948ff840d1,Horta Urbana (Hortas Cariocas),Morro do São Carlos,"Rua São Diniz, s/nº - Estácio, Rio de Janeiro",Estácio,Rio de Janeiro,RJ,Brasil,"Rua São Diniz, s/nº - Estácio, Rio de Janeiro, Estácio, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
b465b1634cfd,Horta Urbana (Hortas Cariocas),Morro do Borel,"Rua São Miguel, 500 - Tijuca, Rio de Janeiro",Tijuca,Rio de Janeiro,RJ,Brasil,"Rua São Miguel, 500 - Tijuca, Rio de Janeiro, Tijuca, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
b7962180c395,Horta Urbana (Hortas Cariocas),Escola Municipal Emma D’Ávila,"Rua Várzea da Palma, s/nº - Guaratiba, Rio de Janeiro",Guaratiba,Rio de Janeiro,RJ,Brasil,"Rua Várzea da Palma, s/nº - Guaratiba, Rio de Janeiro, Guaratiba, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
b7a3a38e0de9,Horta Urbana (Hortas Cariocas),Morro dos Prazeres,"Almirante. Alexandrino, 3.286 - Santa Teresa, Rio de Janeiro",Santa Teresa,Rio de Janeiro,RJ,Brasil,"Almirante. Alexandrino, 3.286 - Santa Teresa, Rio de Janeiro, Santa Teresa, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
bb35cbda89d1,Horta Urbana (Hortas Cariocas),Escola Municipal Claudio B. Viana,"Estrada de Jacarepaguá, 3327 - Rio das Pedras, Rio de Janeiro",Rio das Pedras,Rio de Janeiro,RJ,Brasil,"Estrada de Jacarepaguá, 3327 - Rio das Pedras, Rio de Janeiro, Rio das Pedras, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
c3cc766ee370,Horta Urbana (Hortas Cariocas),Caçapava,"Rua Caçapava - Grajaú, Rio de Janeiro",Grajaú,Rio de Janeiro,RJ,Brasil,"Rua Caçapava - Grajaú, Rio de Janeiro, Grajaú, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
c4239523164d,Horta Urbana (Hortas Cariocas),Morro do Salgueiro,"Rua Potengi, s/nº - Tijuca, Rio de Janeiro",Tijuca,Rio de Janeiro,RJ,Brasil,"Rua Potengi, s/nº - Tijuca, Rio de Janeiro, Tijuca, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
cd9871baaca3,Horta Urbana (Hortas Cariocas),CIEP Posseiro Mário Vaz,"Rua Canoana, s/nº - Guaratiba, Rio de Janeiro",Guaratiba,Rio de Janeiro,RJ,Brasil,"Rua Canoana, s/nº - Guaratiba, Rio de Janeiro, Guaratiba, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
da7de0b89f00,Horta Urbana (Hortas Cariocas),Nova Sepetiba,"Estrada Nova Sepetiba, s/nº - Sepetiba, Rio de Janeiro",Sepetiba,Rio de Janeiro,RJ,Brasil,"Estrada Nova Sepetiba, s/nº - Sepetiba, Rio de Janeiro, Sepetiba, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
da9f747c80a5,Horta Urbana (Hortas Cariocas),Horta Dirce Teixeira,"Estrada do Curipós, s/nº - Anil, Rio de Janeiro",Anil,Rio de Janeiro,RJ,Brasil,"Estrada do Curipós, s/nº - Anil, Rio de Janeiro, Anil, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
de9779a7e10f,Horta Urbana (Hortas Cariocas),Creche Itália Fernandes,"Rua Fernandes Gusmão, 340 - Irajá, Rio de Janeiro",Irajá,Rio de Janeiro,RJ,Brasil,"Rua Fernandes Gusmão, 340 - Irajá, Rio de Janeiro, Irajá, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
e06900bfa479,Horta Urbana (Hortas Cariocas),CIEP Nação Rubro Negra,"Praça Nossa Senhora Auxiliadora S/n° - Leblon, Rio de Janeiro",Leblon,Rio de Janeiro,RJ,Brasil,"Praça Nossa Senhora Auxiliadora S/n° - Leblon, Rio de Janeiro, Leblon, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
f22d53ed6b89,Horta Urbana (Hortas Cariocas),Escola Municipal Juan Samaranch (GEO),"Rua Marcel Proust, 201 - Santa Tereza, Rio de Janeiro",Santa Tereza,Rio de Janeiro,RJ,Brasil,"Rua Marcel Proust, 201 - Santa Tereza, Rio de Janeiro, Santa Tereza, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
fc3a197a4e3a,Horta Urbana (Hortas Cariocas),Escola Municipal Gabriela Mistral,"Praça General Tibúrcio, 145 - Praia Vermelha, Urca, Rio de Janeiro",Urca,Rio de Janeiro,RJ,Brasil,"Praça General Tibúrcio, 145 - Praia Vermelha, Urca, Rio de Janeiro, Urca, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
ffd31fdcd132,Horta Urbana (Hortas Cariocas),Escola Municipal Alzira Araújo,"Rua Ari Lobo, 430 - Campo Grande, Rio de Janeiro",Campo Grande,Rio de Janeiro,RJ,Brasil,"Rua Ari Lobo, 430 - Campo Grande, Rio de Janeiro, Campo Grande, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
